Customer ID,Status,Customer Level
CUS-1479700,Retained,Enterprise
CUS-155950,Retained,Semi-Enterprise
CUS-424400,Retained,Enterprise
CUS-1447200,Retained,Semi-Enterprise
CUS-1464900,Churn,Enterprise
CUS-291550,Churn,Enterprise
CUS-349000,Retained,Enterprise
CUS-1091300,Retained,Semi-Enterprise
CUS-1447250,Churn,Long-tail
CUS-1553100,Onboarding,Enterprise
CUS-417150,Retained,Enterprise
CUS-424450,Retained,Enterprise
CUS-197700,Churn,Long-tail
CUS-5604950,Onboarding,Long-tail
CUS-158650,Churn,Long-tail
CUS-1446300,Churn,Long-tail
CUS-1157000,Churn,Enterprise
CUS-1440050,Retained,Enterprise
CUS-739100,Churn,Enterprise
CUS-277750,Churn,Long-tail
CUS-1534800,Retained,Semi-Enterprise
CUS-305050,Retained,Enterprise
CUS-1219750,Retained,Semi-Enterprise
CUS-767350,Retained,Semi-Enterprise
CUS-1509800,Churn,Semi-Enterprise
CUS-1481900,Churn,Long-tail
CUS-862150,Retained,Enterprise
CUS-182200,Retained,Semi-Enterprise
CUS-387600,Retained,Enterprise
CUS-5607600,Onboarding,Long-tail
CUS-165800,Churn,Long-tail
CUS-175450,Churn,Long-tail
CUS-1048200,Churn,Long-tail
CUS-1567350,Onboarding,Enterprise
CUS-1454650,Retained,Long-tail
CUS-1465950,Retained,Long-tail
CUS-630600,Churn,Semi-Enterprise
CUS-1460200,Retained,Enterprise
CUS-639900,Churn,Long-tail
CUS-812150,Churn,Semi-Enterprise
CUS-1456450,Retained,Enterprise
CUS-316600,Churn,Semi-Enterprise
CUS-1463800,Churn,Enterprise
CUS-439300,Retained,Semi-Enterprise
CUS-851200,Churn,Enterprise
CUS-1507250,Retained,Long-tail
CUS-1531100,Retained,Semi-Enterprise
CUS-1485050,Retained,Long-tail
CUS-161800,Retained,Enterprise
CUS-1551650,Retained,Semi-Enterprise
CUS-1441600,Retained,Enterprise
CUS-1147000,Churn,Semi-Enterprise
CUS-1482300,Churn,Enterprise
CUS-1597050,Onboarding,Enterprise
CUS-1597100,Onboarding,Enterprise
CUS-166550,Churn,Semi-Enterprise
CUS-1516350,Retained,Long-tail
CUS-1468750,Retained,Long-tail
CUS-1285150,Retained,Semi-Enterprise
CUS-1434650,Retained,Long-tail
CUS-788050,Churn,Enterprise
CUS-5603050,Onboarding,Long-tail
CUS-1455700,Churn,Semi-Enterprise
CUS-1560900,Churn,Enterprise
CUS-775950,Retained,Semi-Enterprise
CUS-1442050,Retained,Enterprise
CUS-785300,Retained,Enterprise
CUS-288000,Churn,Long-tail
CUS-335450,Churn,Long-tail
CUS-1444650,Churn,Long-tail
CUS-1553850,Retained,Long-tail
CUS-1441000,Retained,Long-tail
CUS-157800,Churn,Semi-Enterprise
CUS-316250,Retained,Enterprise
CUS-514100,Churn,Long-tail
CUS-557550,Churn,Enterprise
CUS-589000,Churn,Long-tail
CUS-414650,Retained,Semi-Enterprise
CUS-738700,Churn,Semi-Enterprise
CUS-804100,Churn,Long-tail
CUS-644400,Churn,Long-tail
CUS-915650,Churn,Semi-Enterprise
CUS-156150,Churn,Long-tail
CUS-796050,Retained,Enterprise
CUS-1460350,Retained,Enterprise
CUS-862100,Retained,Enterprise
CUS-1124350,Retained,Enterprise
CUS-1430200,Churn,Semi-Enterprise
CUS-714600,Retained,Enterprise
CUS-1427700,Churn,Enterprise
CUS-1546750,Retained,Enterprise
CUS-1441400,Churn,Semi-Enterprise
CUS-679600,Churn,Enterprise
CUS-1449200,Churn,Enterprise
CUS-205900,Churn,Enterprise
CUS-185300,Retained,Enterprise
CUS-1510400,Retained,Enterprise
CUS-1516250,Retained,Enterprise
CUS-5599400,Onboarding,Semi-Enterprise
CUS-5603000,Retained,Long-tail
CUS-1481950,Retained,Enterprise
CUS-1171350,Churn,Long-tail
CUS-1470150,Retained,Semi-Enterprise
CUS-754150,Churn,Long-tail
CUS-1502000,Churn,Long-tail
CUS-927650,Churn,Long-tail
CUS-1559650,Onboarding,Semi-Enterprise
CUS-542800,Churn,Semi-Enterprise
CUS-557000,Retained,Semi-Enterprise
CUS-1507950,Retained,Enterprise
CUS-152800,Churn,Long-tail
CUS-1476100,Churn,Long-tail
CUS-1538950,Retained,Enterprise
CUS-1605450,Onboarding,Semi-Enterprise
CUS-1525900,Retained,Enterprise
CUS-1510350,Churn,Semi-Enterprise
CUS-755350,Churn,Semi-Enterprise
CUS-1450450,Retained,Enterprise
CUS-476800,Churn,Long-tail
CUS-201850,Churn,Long-tail
CUS-1530500,Retained,Enterprise
CUS-270350,Churn,Semi-Enterprise
CUS-285550,Churn,Long-tail
CUS-270850,Churn,Long-tail
CUS-200600,Churn,Long-tail
CUS-1528200,Retained,Semi-Enterprise
CUS-490450,Churn,Long-tail
CUS-1446250,Retained,Semi-Enterprise
CUS-1499800,Retained,Enterprise
CUS-643900,Churn,Long-tail
CUS-155700,Churn,Long-tail
CUS-1514950,Onboarding,Enterprise
CUS-1467200,Retained,Long-tail
CUS-1484400,Onboarding,Enterprise
CUS-278850,Churn,Long-tail
CUS-250400,Churn,Long-tail
CUS-5607950,Onboarding,Long-tail
CUS-1546550,Onboarding,Semi-Enterprise
CUS-1441850,Churn,Semi-Enterprise
CUS-1441900,Churn,Long-tail
CUS-1567500,Onboarding,Enterprise
CUS-1442000,Churn,Long-tail
CUS-1567550,Onboarding,Enterprise
CUS-763850,Retained,Enterprise
CUS-1505950,Retained,Enterprise
CUS-1437100,Retained,Enterprise
CUS-1528050,Retained,Long-tail
CUS-1536050,Churn,Enterprise
CUS-1469150,Churn,Semi-Enterprise
CUS-1461150,Retained,Semi-Enterprise
CUS-1586900,Retained,Enterprise
CUS-1198150,Churn,Long-tail
CUS-459900,Churn,Long-tail
CUS-1470900,Onboarding,Semi-Enterprise
CUS-1235500,Retained,Long-tail
CUS-591550,Churn,Long-tail
CUS-315700,Churn,Long-tail
CUS-1510150,Retained,Enterprise
CUS-1471300,Retained,Enterprise
CUS-1508200,Retained,Enterprise
CUS-1479850,Retained,Semi-Enterprise
CUS-1455100,Retained,Enterprise
CUS-1493800,Churn,Enterprise
CUS-1446500,Retained,Enterprise
CUS-1469300,Retained,Long-tail
CUS-1513900,Retained,Enterprise
CUS-158600,Retained,Enterprise
CUS-1458750,Churn,Long-tail
CUS-1551900,Onboarding,Long-tail
CUS-1529450,Churn,Semi-Enterprise
CUS-287300,Churn,Long-tail
CUS-1597250,Retained,Semi-Enterprise
CUS-1459400,Retained,Long-tail
CUS-1559700,Onboarding,Enterprise
CUS-469700,Churn,Long-tail
CUS-1478950,Churn,Long-tail
CUS-264250,Churn,Long-tail
CUS-1477950,Churn,Semi-Enterprise
CUS-1560200,Onboarding,Long-tail
CUS-1477650,Retained,Long-tail
CUS-1544450,Retained,Long-tail
CUS-340450,Retained,Semi-Enterprise
CUS-960300,Retained,Semi-Enterprise
CUS-361450,Churn,Semi-Enterprise
CUS-1559100,Retained,Enterprise
CUS-1146150,Churn,Semi-Enterprise
CUS-589150,Retained,Semi-Enterprise
CUS-294600,Retained,Enterprise
