Customer ID,Company Newsletter Interaction Count
CUS-160150,54
CUS-166800,27
CUS-1489600,20
CUS-164850,18
CUS-159850,17
CUS-1562300,17
CUS-1517850,17
CUS-1454600,16
CUS-372400,15
CUS-160050,15
CUS-200350,14
CUS-1524100,14
CUS-158250,14
CUS-372100,13
CUS-1149100,13
CUS-515000,13
CUS-1525300,13
CUS-1520250,12
CUS-1580250,12
CUS-1520650,11
CUS-1573600,11
CUS-398000,10
CUS-205950,10
CUS-185300,9
CUS-331650,9
CUS-241400,9
CUS-1537450,9
CUS-167000,8
CUS-414650,8
CUS-160550,8
CUS-1526800,8
CUS-1494150,7
CUS-556900,7
CUS-1442150,7
CUS-370200,6
CUS-1546550,6
CUS-1464100,6
CUS-160000,6
CUS-1526200,6
CUS-172100,6
CUS-1597700,6
CUS-355050,5
CUS-1019500,5
CUS-907950,5
CUS-1517800,5
CUS-1553050,5
CUS-1533750,5
CUS-1574350,5
CUS-1528050,5
CUS-1499500,5
CUS-314750,5
CUS-1435350,5
CUS-150500,4
CUS-1538850,4
CUS-1588050,4
CUS-1468200,4
CUS-591000,4
CUS-1450500,4
CUS-190300,4
CUS-1516700,4
CUS-879300,4
CUS-1157000,4
CUS-182200,4
CUS-315700,4
CUS-162100,4
CUS-1536300,4
CUS-166700,4
CUS-1553500,4
CUS-1539500,4
CUS-1597350,4
CUS-166300,4
CUS-1598500,4
CUS-726400,4
CUS-5607000,4
CUS-785050,4
CUS-289850,4
CUS-1470950,3
CUS-183300,3
CUS-1607850,3
CUS-1454050,3
CUS-578400,3
CUS-1587000,3
CUS-159200,3
CUS-1552350,3
CUS-387600,3
CUS-557000,3
CUS-1538950,3
CUS-1560750,3
CUS-1189650,3
CUS-1206000,3
CUS-1572850,3
CUS-222250,3
CUS-1476600,3
CUS-248500,3
CUS-1206050,3
CUS-1549450,3
CUS-157700,3
CUS-1554900,3
CUS-153750,3
CUS-1453250,3
CUS-1580200,3
CUS-671450,3
CUS-1549250,3
CUS-1492950,3
CUS-351050,3
CUS-1542300,3
CUS-1526100,2
CUS-1559300,2
CUS-166050,2
CUS-329450,2
CUS-230500,2
CUS-701050,2
CUS-1541700,2
CUS-1606400,2
CUS-158850,2
CUS-1514550,2
CUS-1494000,2
CUS-1102150,2
CUS-156100,2
CUS-724550,2
CUS-1507300,2
CUS-158700,2
CUS-1531800,2
CUS-1310400,2
CUS-166450,2
CUS-596350,2
CUS-156150,2
CUS-1510400,2
CUS-1551900,2
CUS-338700,2
CUS-1429300,2
CUS-351800,2
CUS-1526150,2
CUS-241450,2
CUS-1520050,2
CUS-157750,2
CUS-1503300,2
CUS-242750,2
CUS-230450,2
CUS-1562450,2
CUS-571300,2
CUS-1535400,2
CUS-161650,2
CUS-920750,2
CUS-1557850,2
CUS-1454150,2
CUS-1493850,2
CUS-1498700,2
CUS-1393800,2
CUS-1301500,2
CUS-151800,2
CUS-1373400,2
CUS-606900,2
CUS-1529250,2
CUS-1242200,2
CUS-1527250,2
CUS-1507900,1
CUS-1567800,1
CUS-1560950,1
CUS-1503950,1
CUS-1509600,1
CUS-236600,1
CUS-558150,1
CUS-1552300,1
CUS-1507250,1
CUS-775950,1
CUS-316250,1
CUS-1470900,1
CUS-667900,1
CUS-1457100,1
CUS-166250,1
CUS-533750,1
CUS-155800,1
CUS-777900,1
CUS-199600,1
CUS-338100,1
CUS-159300,1
CUS-1524250,1
CUS-803200,1
CUS-1484050,1
CUS-343450,1
CUS-1010150,1
CUS-1463050,1
CUS-1194100,1
CUS-515050,1
CUS-1102650,1
CUS-580050,1
CUS-1595750,1
CUS-1509650,1
CUS-1460500,1
CUS-1526750,1
CUS-1460600,1
CUS-1490500,1
CUS-276400,1
CUS-1528100,1
CUS-1464000,1
CUS-1541850,1
CUS-1508150,1
CUS-833950,1
