Customer ID,Total Revenue
CUS-533750,"$25,903"
CUS-1526150,"$11,967"
CUS-1528400,$0
CUS-241450,"$65,150"
CUS-1524100,"$3,784,780"
CUS-5600500,"$17,408"
CUS-1525550,$349
CUS-1543200,$0
CUS-777900,"$16,064"
CUS-683100,$199
CUS-1496700,"$500,522"
CUS-304750,"$15,663"
CUS-806850,$143
CUS-807100,"$2,321"
CUS-152050,"$9,577,678"
CUS-1508250,$0
CUS-1549400,"$59,471"
CUS-1487750,"$86,507"
CUS-627000,"$274,957"
CUS-1450850,"$666,161"
CUS-1482700,"$9,655"
CUS-1518200,"$2,185,928"
CUS-160550,"$602,370"
CUS-338100,$0
CUS-1559150,"$7,723"
CUS-159300,"$81,787"
CUS-1484500,"$908,136"
CUS-1554050,"$10,015"
CUS-166150,"$12,724"
CUS-1558000,"$18,055"
CUS-1472600,"$15,086,447"
CUS-1520050,"$30,102"
CUS-1478050,"$199,729"
CUS-1457050,"$136,923"
CUS-1466200,"$53,229"
CUS-1347050,"$408,486"
CUS-1455650,"$503,970"
CUS-1450750,"$357,626"
CUS-1068750,"$7,045,718"
CUS-1475750,"$165,375"
CUS-1472650,$0
CUS-160150,"$15,785,256"
CUS-1134350,$89
CUS-1450100,"$22,748"
CUS-1040600,"$1,935,352"
CUS-1025800,"$135,017"
CUS-792350,"$692,015"
CUS-711000,"$1,204,081"
CUS-1047150,"$786,240"
CUS-832650,"$534,334"
CUS-1489750,"$2,754,474"
CUS-332050,"$19,836"
CUS-1564700,"$36,321"
CUS-1262600,"$146,439"
CUS-157750,$11
CUS-463450,$19
CUS-189700,$0
CUS-1492600,"$454,290"
CUS-1525000,"$8,542,885"
CUS-156650,"$65,366"
CUS-1536400,$9
CUS-314850,"$25,912"
CUS-1525950,$0
CUS-812200,$337
CUS-1006000,$0
CUS-244800,"$686,556,466"
CUS-1032150,$0
CUS-1469800,"$36,309"
CUS-156000,"$107,634"
CUS-424350,"$52,648"
CUS-547450,"$52,081"
CUS-1293150,"$117,443"
CUS-1447350,"$10,440"
CUS-291650,"$205,358"
CUS-1091250,"$991,046"
CUS-417200,"$121,092"
CUS-424300,"$34,378"
CUS-1485800,"$16,184"
CUS-462250,"$51,428"
CUS-1446600,"$24,907,978"
CUS-1501050,"$23,679"
CUS-1160900,"$186,833"
CUS-768850,"$200,267"
CUS-1464200,"$14,779"
CUS-1496100,$0
CUS-1496150,$0
CUS-1496200,$0
CUS-1496350,$0
CUS-1493150,$0
CUS-1496750,$0
CUS-1530650,"$262,663"
CUS-271550,"$966,196"
CUS-1468300,$0
CUS-158250,"$923,499"
CUS-955850,$0
CUS-1283250,"$5,506,495"
CUS-1500700,"$26,476"
CUS-1482400,"$7,825"
CUS-1443200,"$79,251"
CUS-160000,"$560,677,689"
CUS-169100,"$36,947,374"
CUS-1435350,$0
CUS-1495850,"$379,417"
CUS-1495900,"$785,300"
CUS-1483450,"$1,396,631"
CUS-362650,"$539,003"
CUS-1513950,"$1,699,750"
CUS-1473400,$0
CUS-230450,"$218,966"
CUS-1507850,"$6,757"
CUS-331650,$0
CUS-1279700,"$93,357"
CUS-381600,$94
CUS-1508050,"$53,557,059"
CUS-1479600,"$4,415,709"
CUS-1477300,"$848,994"
CUS-1357850,"$47,549"
CUS-1493500,"$316,599"
CUS-1179100,"$44,437"
CUS-398000,"$28,692,729"
CUS-1488600,"$10,471"
CUS-1465150,"$269,080"
CUS-1529600,"$4,151,571"
CUS-1544800,"$177,112"
CUS-1559200,"$67,136"
CUS-1577100,"$65,210"
CUS-1538600,"$285,218"
CUS-1562000,$0
CUS-1451700,"$1,380,898"
CUS-888350,"$25,800"
CUS-1453800,"$1,028"
CUS-1503750,"$27,497"
CUS-1503100,"$747,698"
CUS-1503850,"$103,018"
CUS-1472500,"$58,140"
CUS-1460750,$0
CUS-1508300,$0
CUS-1454600,"$157,227,792"
CUS-1500000,"$42,724"
CUS-1508100,$505
CUS-795950,"$219,550"
CUS-1446100,"$7,886"
CUS-1480750,"$717,065"
CUS-1597300,$0
CUS-222250,$0
CUS-1520800,$15
CUS-950450,$452
CUS-1435500,$0
CUS-1444350,"$399,992"
CUS-434600,"$888,760"
CUS-1010150,"$12,272"
CUS-1499950,$0
CUS-1513100,$486
CUS-160500,$0
CUS-1454750,"$698,639"
CUS-241400,"$64,595"
CUS-530450,"$1,140,332"
CUS-1471850,$0
CUS-237600,"$1,277,751"
CUS-1485100,"$314,422"
CUS-268550,"$318,213"
CUS-1476950,"$17,954"
CUS-1442450,$173
CUS-660400,"$133,820"
CUS-1565600,"$41,141"
CUS-361800,"$305,735"
CUS-1479100,$0
CUS-1455200,"$483,141"
CUS-272600,"$7,221"
CUS-1091150,"$2,938,221"
CUS-166300,"$241,136"
CUS-1456900,"$26,262"
CUS-1585400,"$4,784"
CUS-712600,"$403,512"
CUS-1560700,$0
CUS-1484600,"$64,764,238"
CUS-1490950,"$22,766"
CUS-1491000,"$22,766"
CUS-1473000,"$23,698"
CUS-1194100,"$38,658"
CUS-173800,$235
CUS-571300,$0
CUS-563450,"$252,667"
CUS-1502200,"$7,536"
CUS-1453500,"$38,086"
CUS-1517250,"$14,166"
CUS-1511100,"$97,866"
CUS-1468900,"$197,928"
CUS-1459300,"$290,338"
CUS-1450300,"$1,761,018"
CUS-1444400,"$2,863,136"
CUS-1482650,"$28,119"
CUS-1393900,"$484,648"
CUS-1580700,$0
CUS-912150,"$241,016"
CUS-1460300,"$22,935,694"
CUS-1500150,"$4,784,639"
CUS-1442150,"$1,801,813"
CUS-621600,$0
CUS-1531150,$0
CUS-1503450,"$10,573"
CUS-1476600,"$28,771"
CUS-248500,$97
CUS-1516600,"$259,586"
CUS-1538000,"$550,877"
CUS-1082550,"$124,855"
CUS-1538100,"$117,848"
CUS-1517850,$0
CUS-1478700,$0
CUS-1478750,$0
CUS-1030400,"$4,077"
CUS-920750,"$275,970"
CUS-1483000,"$13,060"
CUS-1544850,"$4,062"
CUS-5602050,$0
CUS-1457950,"$21,328,922"
CUS-166200,$0
CUS-1469550,"$160,273"
CUS-1461200,$45
CUS-1526800,"$451,217"
CUS-1459450,"$2,230,194"
CUS-1459500,"$3,972,378"
CUS-1443100,"$1,572,906"
CUS-1499750,$0
CUS-1461450,"$1,143,413"
CUS-1586700,"$43,541"
CUS-1206050,"$100,256"
CUS-1471900,$0
CUS-1454150,"$144,543"
CUS-1526200,"$27,056"
CUS-726400,"$302,764"
CUS-1530400,$54
CUS-470750,"$48,624"
CUS-1517350,$0
CUS-1486050,"$1,806,546"
CUS-1549550,"$35,804"
CUS-1506000,"$740,262,304"
CUS-1506050,"$91,677"
CUS-1506100,"$45,727"
CUS-1511600,"$179,420"
CUS-1506200,"$227,445"
CUS-1506250,"$149,736"
CUS-1506300,"$1,465"
CUS-1005900,"$2,690,946"
CUS-957900,"$26,088,378"
CUS-1552700,"$915,558"
CUS-1473450,"$122,333"
CUS-1473550,"$362,184"
CUS-902900,"$684,981"
CUS-1474000,"$187,862"
CUS-1473600,"$511,874"
CUS-1474050,"$30,060"
CUS-1473650,"$256,250"
CUS-419600,$0
CUS-322550,"$3,349,139"
CUS-619650,"$581,363"
CUS-1461250,"$79,631"
CUS-1511250,"$267,137"
CUS-726750,"$127,618,032"
CUS-1486150,"$837,187"
CUS-1537450,"$38,007"
CUS-1569600,$0
CUS-1499650,"$151,075"
CUS-1488950,"$571,797"
CUS-1517750,$0
CUS-291050,$0
CUS-1090300,"$477,534"
CUS-1479000,"$5,530,741"
CUS-1470800,"$9,789"
CUS-774850,$344
CUS-1537600,"$38,126"
CUS-661350,"$631,798"
CUS-243550,$0
CUS-1086200,$0
CUS-151450,"$10,549"
CUS-1476650,"$2,254"
CUS-1498700,"$2,571"
CUS-1471950,$0
CUS-1364950,"$73,520"
CUS-1595750,"$178,139"
CUS-1462000,"$70,291,060"
CUS-1537150,"$1,725,930"
CUS-531300,"$65,438"
CUS-1518300,"$1,572"
CUS-1544950,$58
CUS-1301500,"$185,685"
CUS-1500050,"$6,528"
CUS-1457250,$0
CUS-1494250,"$33,260,302"
CUS-1554900,"$50,602"
CUS-153750,"$5,364,006"
CUS-1509650,"$59,766"
CUS-1559250,"$876,165"
CUS-1561300,"$876,165"
CUS-1460500,$4
CUS-1586950,$0
CUS-1466300,"$344,147"
CUS-1466350,"$60,402"
CUS-1485150,"$321,362"
CUS-1526750,$72
CUS-530100,"$2,665,856"
CUS-1485300,"$12,274,900"
CUS-1469250,$0
CUS-993250,"$402,943"
CUS-1373400,"$102,856"
CUS-1510550,"$401,707"
CUS-1511300,"$82,065"
CUS-1490500,$17
CUS-156700,"$29,853"
CUS-1473850,"$3,238,936"
CUS-1573600,"$15,761"
CUS-1491100,"$830,731"
CUS-1453250,"$395,540"
CUS-1521150,"$146,656"
CUS-165750,"$23,801"
CUS-1525250,$0
CUS-1585350,$0
CUS-164850,"$84,637"
CUS-1474200,"$556,527"
CUS-606900,"$2,723,950"
CUS-983600,"$1,381,589"
CUS-1534700,"$117,349"
CUS-1513550,$0
CUS-1482500,"$8,954"
CUS-1482550,"$396,088"
CUS-1467650,"$2,681,650"
CUS-1513650,$463
CUS-1130700,"$858,074"
CUS-1130750,"$109,631"
CUS-499900,"$113,406,378"
CUS-1444700,"$5,341,039"
CUS-1460700,"$1,645,395"
CUS-276400,"$13,222"
CUS-1542550,"$30,979"
CUS-1172500,"$56,655"
CUS-1469950,"$51,238"
CUS-1470050,"$231,781"
CUS-1499000,"$697,895"
CUS-5602400,$0
CUS-1503000,"$21,601,433"
CUS-169050,"$2,073"
CUS-1445750,"$181,662"
CUS-463500,$0
CUS-1548400,"$37,212"
CUS-1459100,$0
CUS-1493300,"$631,883"
CUS-631850,$0
CUS-1449400,"$40,541"
CUS-172100,"$5,227,988"
CUS-1512550,$2
CUS-166750,$797
CUS-1496550,"$77,141"
CUS-1586750,$0
CUS-1528100,"$118,629,839"
CUS-1493550,"$153,247"
CUS-615000,$901
CUS-1514000,$0
CUS-1489800,"$2,088"
CUS-1478500,"$7,584,396"
CUS-1529250,$492
CUS-1542150,$0
CUS-1455300,"$11,128,158"
CUS-1437300,"$29,177"
CUS-1527250,"$253,116"
CUS-289850,"$1,438,623,448"
CUS-916650,$0
CUS-1280600,"$4,154"
CUS-1464000,"$1,562,270"
CUS-1453900,"$14,431,001"
CUS-1541850,$0
CUS-1451200,"$281,382"
CUS-203250,$0
CUS-1539150,"$42,254"
CUS-1551800,"$24,471,441"
CUS-1492800,"$2,708,420"
CUS-1484000,"$91,264"
CUS-394200,"$1,663,217"
CUS-626250,"$3,451,604"
CUS-590150,"$70,653"
CUS-617450,"$30,414,659"
CUS-608250,"$1,802,794"
CUS-714500,"$597,498"
CUS-1492950,"$45,226,966"
CUS-266200,"$31,253"
CUS-949800,"$277,202"
CUS-1496600,"$138,844"
CUS-1500800,$585
CUS-1542300,$0
CUS-1607800,"$8,575"
CUS-1531550,"$46,127"
CUS-830700,$0
CUS-833950,"$609,401"
CUS-783450,"$16,527"
CUS-1500500,$0
CUS-1499600,"$15,967,518"
