Customer ID,Help Ticket Count,Help Ticket Lead Time (hours)
CUS-330400,7,1668
CUS-1495850,1,950
CUS-1483450,42,990
CUS-1487950,2,241
CUS-1285450,2,2574
CUS-1488000,5,437
CUS-1577700,2,873
CUS-1513950,30,586
CUS-230450,45,808
CUS-1507850,19,410
CUS-1452550,1,352
CUS-1452600,4,119
CUS-796500,1,247
CUS-331650,2,86
CUS-1279700,9,651
CUS-1072950,6,1839
CUS-381600,6,3012
CUS-1508050,4,869
CUS-1454950,21,569
CUS-1514300,29,277
CUS-5603100,1,28
CUS-1557750,52,415
CUS-1479600,9,307
CUS-1559400,4,733
CUS-1477300,55,360
CUS-1488250,7,528
CUS-1357850,7,314
CUS-1493500,4,377
CUS-1179100,14,421
CUS-1492650,14,962
CUS-398000,48,1189
CUS-1488600,1,3637
CUS-1463000,5,540
CUS-1484050,29,851
CUS-1529600,15,332
CUS-1544800,5,644
CUS-1488050,3,628
CUS-1559200,17,371
CUS-1553500,2,1378
CUS-343450,20,890
CUS-1516650,66,379
CUS-1502150,48,501
CUS-1577100,2,212
CUS-1538600,8,331
CUS-1562000,31,392
CUS-1451700,8,544
CUS-888350,5,603
CUS-1453800,25,862
CUS-158200,5,1439
CUS-1503750,5,1035
CUS-1503100,28,625
CUS-1503850,10,917
CUS-1472500,17,343
CUS-1588400,4,124
CUS-1454600,53,472
CUS-1500000,31,775
CUS-1459800,1,3636
CUS-1492400,31,1134
CUS-1514350,17,497
CUS-1508100,7,774
CUS-795950,16,1004
CUS-1541800,1,830
CUS-1446100,12,529
CUS-1512600,8,649
CUS-1513150,2,740
CUS-1480750,42,603
CUS-152500,7,1449
CUS-208800,8,449
CUS-1543650,57,395
CUS-1543600,1,47
CUS-1543700,7,212
CUS-1497300,8,335
CUS-1597300,2,337
CUS-222250,2,62
CUS-1520800,7,364
CUS-950500,1,2636
CUS-950450,17,744
CUS-1435500,2,15
CUS-1444350,19,508
CUS-1454700,2,412
CUS-434600,6,546
CUS-1010150,5,785
CUS-1484650,5,2298
CUS-1499950,4,817
CUS-1513100,11,227
CUS-1539500,3,1401
CUS-1454750,20,520
CUS-241400,35,3200
CUS-530450,16,287
CUS-1471850,5,330
CUS-735500,2,310
CUS-1586300,4,592
CUS-161200,1,1617
CUS-1485100,2,330
CUS-268550,19,404
CUS-1476950,67,919
CUS-1442450,10,1504
CUS-660400,20,394
CUS-261400,1,3291
CUS-1450050,1,3625
CUS-1565600,1,22
CUS-1597350,1,387
CUS-1526250,12,866
CUS-1468550,6,770
CUS-1078300,1,1511
CUS-1531400,12,357
CUS-1455200,24,1472
CUS-1463050,3,1252
CUS-1520350,5,437
CUS-272600,29,635
CUS-1091150,67,557
CUS-166300,22,766
CUS-1493450,13,412
CUS-195300,5,398
CUS-1456900,1,1242
CUS-1585400,12,562
CUS-1477100,17,716
CUS-712600,32,1323
CUS-1560700,3,2332
CUS-1487900,10,356
CUS-1484600,36,602
CUS-281300,2,241
CUS-1473000,11,895
CUS-1514900,2,290
CUS-1508950,8,402
CUS-1509300,4,195
CUS-1509350,3,185
CUS-1480800,1,249
CUS-173800,20,638
CUS-563450,56,762
CUS-1567650,1,420
CUS-581600,6,3083
CUS-524950,3,402
CUS-1502200,9,410
CUS-1453500,6,572
CUS-515050,6,426
CUS-1467000,2,532
CUS-1517250,6,572
CUS-1511100,11,507
CUS-1468850,19,651
CUS-1468900,2,279
CUS-1459300,45,579
CUS-1450300,10,619
CUS-1444400,70,653
CUS-1032050,13,248
CUS-483850,4,1203
CUS-1482650,42,697
CUS-1393900,26,388
CUS-1580700,1,0
CUS-912150,61,643
CUS-1554300,8,57
CUS-1554150,1,323
CUS-1460300,40,632
CUS-161650,6,1141
CUS-1500150,10,826
CUS-1442150,54,600
CUS-621600,19,431
CUS-1510500,11,677
CUS-1479050,33,1376
CUS-1503450,7,460
CUS-1476600,4,369
CUS-1460400,4,1847
CUS-248500,7,1052
CUS-1350200,4,378
CUS-494250,6,1958
CUS-1516600,21,412
CUS-1538000,2,725
CUS-1082550,32,300
CUS-1090100,2,660
CUS-1538100,4,735
CUS-1517850,1,1561
CUS-1478700,2,250
CUS-1478750,7,314
CUS-1030400,2,202
CUS-1497600,32,1091
CUS-920750,13,406
CUS-252250,2,540
CUS-1483000,1,549
CUS-1544850,2,1359
CUS-1449950,3,1325
CUS-304700,1,1558
CUS-914900,1,2623
CUS-158150,7,1332
CUS-1457950,86,563
CUS-166200,8,274
CUS-1469550,33,562
CUS-1461200,1,1911
CUS-1526800,25,578
CUS-1482900,1,378
CUS-1586100,2,360
CUS-1484350,7,1098
CUS-1459450,42,810
CUS-1459500,39,956
CUS-1443100,38,739
CUS-1499750,4,352
CUS-1461450,15,396
CUS-1586700,15,228
CUS-223500,2,892
CUS-1442350,1,1708
CUS-1206050,13,1349
CUS-1557850,2,275
CUS-1471900,3,278
CUS-1580750,3,431
CUS-1454150,36,533
CUS-1526200,34,441
CUS-665150,1,1407
CUS-726400,24,545
CUS-1530400,4,379
CUS-470750,2,127
CUS-1517350,11,240
CUS-1486050,50,1335
CUS-1458950,5,1019
CUS-1549550,4,230
CUS-1506000,6,925
CUS-1506050,6,925
CUS-1506100,14,604
CUS-1511600,5,1076
CUS-1599850,3,344
CUS-1506200,9,787
CUS-1506250,10,530
CUS-1506300,8,484
CUS-1005900,4,2709
CUS-957900,39,472
CUS-1473450,4,263
CUS-1473550,11,631
CUS-902900,31,670
CUS-1474000,4,291
CUS-1473600,4,1026
CUS-1474050,3,621
CUS-1473650,11,593
CUS-322550,42,1207
CUS-619650,43,821
CUS-1461250,4,1626
CUS-295200,9,656
CUS-1511250,27,458
CUS-726750,25,910
CUS-1486150,82,848
CUS-1537450,14,649
CUS-1569600,1,892
CUS-1589800,2,407
CUS-1597150,1,430
CUS-1499650,30,534
CUS-421850,7,843
CUS-1517750,1,859
CUS-1458500,38,378
CUS-1090300,23,722
CUS-1493850,69,394
CUS-1479000,83,673
CUS-1589200,3,172
CUS-531500,2,1280
CUS-1544250,1,264
CUS-1470800,38,1301
CUS-774850,11,1768
CUS-1537600,26,509
CUS-580050,12,1390
CUS-661350,46,423
CUS-1289700,27,922
CUS-1449300,4,251
CUS-1586200,3,1055
CUS-1443800,5,236
CUS-151450,23,642
CUS-157700,28,483
CUS-1458550,28,1220
CUS-1476650,20,571
CUS-1498700,13,782
CUS-1393800,2,260
CUS-1471950,1,301
CUS-1364950,7,757
CUS-1595750,4,259
CUS-1462000,69,1144
CUS-1537150,35,441
CUS-531300,42,413
CUS-351350,12,428
CUS-1518300,21,332
CUS-1301500,50,1097
CUS-1569850,1,1061
CUS-1500050,17,635
CUS-1476900,3,698
CUS-1486500,5,2594
CUS-1486550,10,1780
CUS-1457250,18,1853
CUS-151800,3,278
CUS-1494250,7,916
CUS-1554900,22,298
CUS-153750,85,756
CUS-1509650,15,403
CUS-1543300,1,1307
CUS-1559250,23,358
CUS-1545000,11,522
CUS-468500,3,1575
CUS-1460500,5,274
CUS-1586950,3,484
CUS-966450,4,1991
CUS-1468650,5,455
CUS-1466300,22,1510
CUS-1466350,19,2281
CUS-1485150,36,486
CUS-1596650,1,760
CUS-1526750,5,300
CUS-1579750,6,277
CUS-1577800,2,321
CUS-530100,21,681
CUS-1485300,6,376
CUS-993250,68,512
CUS-719100,3,161
CUS-1373400,8,819
CUS-1510550,10,206
CUS-1460600,28,383
CUS-1511300,18,311
CUS-1463600,2,535
CUS-1490500,16,1592
CUS-1455150,25,197
CUS-476750,3,506
CUS-156700,11,2459
CUS-1489550,2,493
CUS-1473850,34,504
CUS-1573600,3,361
CUS-1453250,5,186
CUS-1481200,37,333
CUS-1460550,1,276
CUS-1521150,20,231
CUS-665100,4,5691
CUS-1580200,3,193
CUS-165750,62,1009
CUS-164850,10,546
CUS-1474200,5,954
CUS-606900,29,563
CUS-861200,34,923
CUS-983600,46,489
CUS-1534700,28,419
CUS-1567200,1,292
CUS-1513550,78,443
CUS-1509750,23,1005
CUS-1482500,6,894
CUS-1482550,18,1163
CUS-1467650,8,1257
CUS-1513650,8,258
CUS-1513600,3,492
CUS-1130700,30,519
CUS-1130750,1,877
CUS-1227550,10,854
CUS-499900,15,600
CUS-476600,3,1118
CUS-428950,1,910
CUS-1472050,4,208
CUS-712800,1,605
CUS-1444700,43,389
CUS-1460700,28,766
CUS-276400,1,463
CUS-1503050,9,449
CUS-1542550,25,431
CUS-1172500,6,322
CUS-1469950,3,1238
CUS-1470050,11,757
CUS-1517200,1,93
CUS-1499000,38,497
CUS-1496000,32,1438
CUS-1478850,2,2629
CUS-1503000,32,576
CUS-785050,8,257
CUS-169050,6,1454
CUS-1445750,47,464
CUS-764500,2,1532
CUS-1514500,6,272
CUS-463500,28,790
CUS-1517700,2,446
CUS-463600,3,1738
CUS-1548400,18,576
CUS-160050,22,1924
CUS-1459100,114,694
CUS-1498000,76,850
CUS-1493300,23,912
CUS-631850,3,388
CUS-1574450,8,466
CUS-1449400,23,315
CUS-1501000,68,733
CUS-671450,28,1068
CUS-172100,82,1189
CUS-1481000,1,266
CUS-166750,9,1786
CUS-1496550,8,1132
CUS-1586750,2,165
CUS-1528100,88,579
CUS-459950,1,2096
CUS-726500,5,399
CUS-1493550,2,375
CUS-615000,3,1636
CUS-1514000,4,768
CUS-1489800,9,674
CUS-1478500,40,749
CUS-1523000,1,508
CUS-244700,6,450
CUS-1529250,10,514
CUS-1509850,1,61
CUS-1538550,7,627
CUS-1455300,86,951
CUS-1496950,7,151
CUS-1437300,11,362
CUS-1527250,14,723
CUS-1587350,9,312
CUS-158050,29,1390
CUS-1525300,2,409
CUS-289850,56,440
CUS-916650,10,603
CUS-815850,7,682
CUS-1280600,7,291
CUS-1607750,1,685
CUS-1464000,14,323
CUS-1453900,101,576
CUS-1585300,10,413
CUS-1472150,4,303
CUS-1451200,67,1176
CUS-1476750,37,877
CUS-203250,28,880
CUS-1557350,4,425
CUS-1539150,8,1288
CUS-531350,53,754
CUS-1507700,48,470
CUS-1510250,10,179
CUS-1551800,1,384
CUS-1492800,2,98
CUS-1384400,7,1546
CUS-1513800,2,492
CUS-1478600,24,345
CUS-205950,16,305
CUS-394200,94,811
CUS-580650,43,575
CUS-626250,64,1015
CUS-590150,14,722
CUS-617450,48,898
CUS-608250,68,272
CUS-480100,42,474
CUS-714500,110,875
CUS-1488400,3,756
CUS-1492950,16,598
CUS-1518650,5,1067
CUS-1559800,4,409
CUS-266200,2,1356
CUS-949800,21,543
CUS-152000,1,3539
CUS-1468400,28,2127
CUS-1469600,7,1416
CUS-1496600,8,901
CUS-1500800,4,232
CUS-1498250,1,947
CUS-1514800,26,449
CUS-1496650,6,1870
CUS-517600,3,2353
CUS-351050,34,507
CUS-1508150,1,17
CUS-1481150,7,129
CUS-1566750,3,179
CUS-566500,4,728
CUS-1607800,3,704
CUS-1531550,11,485
CUS-1051750,1,442
CUS-1488450,3,245
CUS-1495800,17,375
CUS-153700,8,2050
CUS-169200,57,1292
CUS-783450,1,315
CUS-1536550,1,134
CUS-993300,6,1752
CUS-1499600,11,1684
